Player name,Position,Game,Prop_line,Prop_type,Projection_BP,Projection_UO_BP,Proj_BP_Diff,EV,OPP vs Prop,L-5,L-15,season,H2H,Odds
Rui Hachimura,F,LAL @ MIN,5.0,Reb,4.9,Under,-0.1,,8th,20%,,,,-137
Rui Hachimura,F,LAL @ MIN,1.53,pts,1.6,Over,0.1,,3rd,60%,,,,-137
Paolo Banchero,F,BOS @ ORL,32.5,Pts + Ast,32.4,Under,-0.1,,2nd,60%,,,,-124
Franz Wagner,F,BOS @ ORL,30.5,Pts + Reb,30.4,Under,-0.1,,3rd,20%,,,,-115
Aaron Nesmith,F,IND @ MIL,15.5,Pts + Reb,15.6,Over,0.1,,16th,40%,,,,-110
Bennedict Mathurin,F,IND @ MIL,15.0,Pts + Reb,15.1,Under,0.1,,16th,80%,,,,-137
Gary Harris,G,BOS @ ORL,1.5,Reb + Ast,1.6,Over,0.1,,7th,60%,,,,-130
Brook Lopez,C,IND @ MIL,4.5,Reb + Ast,4.6,Over,0.1,,17th,20%,,,,-129
Jarred Vanderbilt,F,LAL @ MIN,3.5,Reb + Ast,3.6,Over,0.1,,6th,80%,,,,-117
Anthony Edwards,G,LAL @ MIN,10.5,Reb + Ast,10.6,Over,0.1,,12th,40%,,,,-137
Bennedict Mathurin,F,IND @ MIL,16.5,Pts + Ast + Reb,16.4,Under,-0.1,,16th,60%,,,,-137
